Date,Sone 1: Sør-Øst Norge,Sone 2: Sør Norge,Sone 3: Midt-Norge,Sone 4: Nord-Norge,Sone 5: Vest-Norge
2019-01-01,68.24,67.94,64.12,50.1,67.89
2019-02-01,56.44,56.35,55.17,44.13,56.38
2019-03-01,51.07,51.05,49.97,39.98,51.07
2019-04-01,49.73,49.78,49.7,39.7,49.78
2019-05-01,48.24,48.24,47.15,37.81,48.24
2019-06-01,36.65,36.82,31.66,25.38,36.65
2019-07-01,42.23,42.23,41.57,33.12,42.23
2019-08-01,43.25,43.25,45.63,36.1,43.25
2019-09-01,37.08,37.3,41.38,33.05,37.08
2019-10-01,46.42,46.37,46.25,36.62,46.42
2019-11-01,53.45,53.38,52.22,41.4,53.57
2019-12-01,47.7,47.56,44.69,35.71,47.72
2020-01-01,30.51,30.51,29.12,23.26,30.5
2020-02-01,15.79,15.64,17.43,13.91,15.79
2020-03-01,11.26,11.22,12.53,10.02,11.26
2020-04-01,6.66,6.66,6.61,5.39,6.66
2020-05-01,9.94,9.91,12.0,9.77,9.94
2020-06-01,1.95,1.95,4.22,3.38,1.95
2020-07-01,1.88,1.88,3.4,2.93,1.88
2020-08-01,4.86,5.13,8.49,6.03,4.52
2020-09-01,12.75,12.75,13.38,7.42,12.63
2020-10-01,17.94,17.94,16.36,10.4,17.23
2020-11-01,6.24,6.24,7.04,5.59,6.26
2020-12-01,26.77,26.77,18.88,14.06,26.1
2021-01-01,62.56,62.39,56.87,37.69,62.49
2021-02-01,68.13,60.99,55.1,42.52,68.01
2021-03-01,52.66,52.65,31.75,25.21,52.66
2021-04-01,56.52,55.48,34.7,26.88,55.49
2021-05-01,60.72,60.79,46.11,32.83,60.96
2021-06-01,58.64,68.6,44.6,21.25,58.61
2021-07-01,72.06,72.06,59.26,22.85,72.06
2021-08-01,93.54,93.57,74.49,44.66,93.63
2021-09-01,135.46,135.46,67.39,51.26,135.46
2021-10-01,120.14,121.67,30.88,21.95,119.93
2021-11-01,132.91,132.92,52.15,41.7,133.08
2021-12-01,221.41,221.35,75.96,60.68,220.86
2022-01-01,175.79,175.79,32.98,26.22,171.41
2022-02-01,150.67,150.67,22.59,16.17,150.3
2022-03-01,233.8,233.8,21.6,15.1,233.81
2022-04-01,217.49,217.36,56.34,17.85,217.97
2022-05-01,206.21,206.65,19.7,11.25,206.27
2022-06-01,187.74,233.34,14.8,8.56,187.65
2022-07-01,208.63,328.47,2.38,1.92,208.63
2022-08-01,430.36,543.11,23.61,2.82,426.97
2022-09-01,448.36,448.36,94.12,36.43,448.36
2022-10-01,161.81,165.27,44.97,20.55,164.86
2022-11-01,140.72,141.0,79.72,44.28,140.72
2022-12-01,335.85,335.84,226.91,98.54,336.91
2023-01-01,158.23,158.23,87.01,46.38,160.95
2023-02-01,143.6,143.69,60.82,31.56,138.5
2023-03-01,140.79,140.8,80.19,49.02,141.3
2023-04-01,138.67,138.67,87.01,40.37,141.13
2023-05-01,98.26,100.83,39.78,21.94,98.73
2023-06-01,91.58,120.56,29.33,21.71,91.54
2023-07-01,45.98,85.84,35.71,22.23,46.51
2023-08-01,25.08,91.13,25.1,19.95,23.76
2023-09-01,1.4,71.99,12.37,9.87,1.39
2023-10-01,53.85,63.12,20.34,16.1,53.36
2023-11-01,130.96,130.96,81.74,62.75,130.98
2023-12-01,116.98,113.67,98.95,68.97,116.98
2024-01-01,114.81,107.77,80.53,44.58,112.9
2024-02-01,83.75,83.15,62.71,41.47,84.79
2024-03-01,84.58,84.5,76.47,55.4,86.05
2024-04-01,75.21,74.72,72.68,49.3,79.86
2024-05-01,46.65,60.25,27.34,21.87,47.37
2024-06-01,47.92,59.87,33.1,25.25,48.79
2024-07-01,35.82,50.84,33.97,27.31,39.35
2024-08-01,16.24,59.69,15.98,12.87,16.91
2024-09-01,26.45,56.3,18.73,14.94,23.28
2024-10-01,49.89,61.46,19.56,13.45,49.97
2024-11-01,70.05,81.1,19.89,9.25,61.76
2024-12-01,,,,,
