Måned,Sone,2024,2023,2022,2021,2020,2019
Januar,Sone 1: Sør-Øst Norge,114.81,158.23,175.79,62.56,30.51,68.24
Februar,Sone 1: Sør-Øst Norge,83.75,143.60,150.67,68.13,15.79,56.44
Mars,Sone 1: Sør-Øst Norge,84.58,140.79,233.80,52.66,11.26,51.07
April,Sone 1: Sør-Øst Norge,75.21,138.67,217.49,56.52,6.66,49.73
Mai,Sone 1: Sør-Øst Norge,46.65,98.26,206.21,60.72,9.94,48.24
Juni,Sone 1: Sør-Øst Norge,47.92,91.58,187.74,58.64,1.95,36.65
Juli,Sone 1: Sør-Øst Norge,35.82,45.98,208.63,72.06,1.88,42.23
August,Sone 1: Sør-Øst Norge,16.24,25.08,430.36,93.54,4.86,43.25
September,Sone 1: Sør-Øst Norge,26.45,1.40,448.36,135.46,12.75,37.08
Oktober,Sone 1: Sør-Øst Norge,49.89,53.85,161.81,120.14,17.94,46.42
November,Sone 1: Sør-Øst Norge,70.05,130.96,140.72,132.91,6.24,53.45
Desember,Sone 1: Sør-Øst Norge,Ø,116.98,335.85,221.41,26.77,47.70
Januar,Sone 2: Sør Norge,107.77,158.23,175.79,62.39,30.51,67.94
Februar,Sone 2: Sør Norge,83.15,143.69,150.67,60.99,15.64,56.35
Mars,Sone 2: Sør Norge,84.5,140.80,233.80,52.65,11.22,51.05
April,Sone 2: Sør Norge,74.72,138.67,217.36,55.48,6.66,49.78
Mai,Sone 2: Sør Norge,60.25,100.83,206.65,60.79,9.91,48.24
Juni,Sone 2: Sør Norge,59.87,120.56,233.34,68.60,1.95,36.82
Juli,Sone 2: Sør Norge,50.84,85.84,328.47,72.06,1.88,42.23
August,Sone 2: Sør Norge,59.69,91.13,543.11,93.57,5.13,43.25
September,Sone 2: Sør Norge,56.3,71.99,448.36,135.46,12.75,37.30
Oktober,Sone 2: Sør Norge,61.46,63.12,165.27,121.67,17.94,46.37
November,Sone 2: Sør Norge,81.1,130.96,141.00,132.92,6.24,53.38
Desember,Sone 2: Sør Norge,Ø,113.67,335.84,221.35,26.77,47.56
Januar,Sone 3: Midt-Norge,80.53,87.01,32.98,56.87,29.12,64.12
Februar,Sone 3: Midt-Norge,62.71,60.82,22.59,55.10,17.43,55.17
Mars,Sone 3: Midt-Norge,76.47,80.19,21.60,31.75,12.53,49.97
April,Sone 3: Midt-Norge,72.68,87.01,56.34,34.70,6.61,49.70
Mai,Sone 3: Midt-Norge,27.34,39.78,19.70,46.11,12.00,47.15
Juni,Sone 3: Midt-Norge,33.1,29.33,14.80,44.60,4.22,31.66
Juli,Sone 3: Midt-Norge,33.97,35.71,2.38,59.26,3.40,41.57
August,Sone 3: Midt-Norge,15.98,25.10,23.61,74.49,8.49,45.63
September,Sone 3: Midt-Norge,18.73,12.37,94.12,67.39,13.38,41.38
Oktober,Sone 3: Midt-Norge,19.56,20.34,44.97,30.88,16.36,46.25
November,Sone 3: Midt-Norge,19.89,81.74,79.72,52.15,7.04,52.22
Desember,Sone 3: Midt-Norge,Ø,98.95,226.91,75.96,18.88,44.69
Januar,Sone 4: Nord-Norge,44.58,46.38,26.22,37.69,23.26,50.10
Februar,Sone 4: Nord-Norge,41.47,31.56,16.17,42.52,13.91,44.13
Mars,Sone 4: Nord-Norge,55.4,49.02,15.10,25.21,10.02,39.98
April,Sone 4: Nord-Norge,49.3,40.37,17.85,26.88,5.39,39.70
Mai,Sone 4: Nord-Norge,21.87,21.94,11.25,32.83,9.77,37.81
Juni,Sone 4: Nord-Norge,25.25,21.71,8.56,21.25,3.38,25.38
Juli,Sone 4: Nord-Norge,27.31,22.23,1.92,22.85,2.93,33.12
August,Sone 4: Nord-Norge,12.87,19.95,2.82,44.66,6.03,36.10
September,Sone 4: Nord-Norge,14.94,9.87,36.43,51.26,7.42,33.05
Oktober,Sone 4: Nord-Norge,13.45,16.10,20.55,21.95,10.40,36.62
November,Sone 4: Nord-Norge,9.25,62.75,44.28,41.70,5.59,41.40
Desember,Sone 4: Nord-Norge,Ø,68.97,98.54,60.68,14.06,35.71
Januar,Sone 5: Vest-Norge,112.9,160.95,171.41,62.49,30.50,67.89
Februar,Sone 5: Vest-Norge,84.79,138.50,150.30,68.01,15.79,56.38
Mars,Sone 5: Vest-Norge,86.05,141.30,233.81,52.66,11.26,51.07
April,Sone 5: Vest-Norge,79.86,141.13,217.97,55.49,6.66,49.78
Mai,Sone 5: Vest-Norge,47.37,98.73,206.27,60.96,9.94,48.24
Juni,Sone 5: Vest-Norge,48.79,91.54,187.65,58.61,1.95,36.65
Juli,Sone 5: Vest-Norge,39.35,46.51,208.63,72.06,1.88,42.23
August,Sone 5: Vest-Norge,16.91,23.76,426.97,93.63,4.52,43.25
September,Sone 5: Vest-Norge,23.28,1.39,448.36,135.46,12.63,37.08
Oktober,Sone 5: Vest-Norge,49.97,53.36,164.86,119.93,17.23,46.42
November,Sone 5: Vest-Norge,61.76,130.98,140.72,133.08,6.26,53.57
Desember,Sone 5: Vest-Norge,Ø,116.98,336.91,220.86,26.10,47.72

